From_NL,From_UTC,E_Volume_kWh,Tenant,E_Volume_MWh,Abs_E_Volume_kWh,Abs_E_Volume_MWh
02/12/2023 01:30,02/12/2023 00:30,39317,0,39.317,39317,39.317
02/12/2023 01:45,02/12/2023 00:45,1028,1,1.028,1028,1.028
02/12/2023 01:45,02/12/2023 00:45,39347,0,39.347,39347,39.347
02/12/2023 02:00,02/12/2023 01:00,1104,1,1.104,1104,1.104
02/12/2023 02:00,02/12/2023 01:00,38121,0,38.121,38121,38.121
02/12/2023 02:15,02/12/2023 01:15,1099,1,1.099,1099,1.099
02/12/2023 02:15,02/12/2023 01:15,38126,0,38.126,38126,38.126
02/12/2023 02:30,02/12/2023 01:30,38151,0,38.151,38151,38.151
02/12/2023 02:30,02/12/2023 01:30,1074,1,1.074,1074,1.074
02/12/2023 02:45,02/12/2023 01:45,1063,1,1.063,1063,1.063
02/12/2023 02:45,02/12/2023 01:45,38162,0,38.162,38162,38.162
02/12/2023 03:00,02/12/2023 02:00,37367,0,37.367,37367,37.367
02/12/2023 03:00,02/12/2023 02:00,1083,1,1.083,1083,1.083
02/12/2023 03:15,02/12/2023 02:15,1062,1,1.062,1062,1.062
02/12/2023 03:15,02/12/2023 02:15,37388,0,37.388,37388,37.388
02/12/2023 03:30,02/12/2023 02:30,1050,1,1.05,1050,1.05
02/12/2023 03:30,02/12/2023 02:30,37400,0,37.4,37400,37.4
02/12/2023 03:45,02/12/2023 02:45,1039,1,1.039,1039,1.039
02/12/2023 03:45,02/12/2023 02:45,37411,0,37.411,37411,37.411
02/12/2023 04:00,02/12/2023 03:00,1026,1,1.026,1026,1.026
02/12/2023 04:00,02/12/2023 03:00,37399,0,37.399,37399,37.399
02/12/2023 04:15,02/12/2023 03:15,37408,0,37.408,37408,37.408
02/12/2023 04:15,02/12/2023 03:15,1017,1,1.017,1017,1.017
02/12/2023 04:30,02/12/2023 03:30,984,1,0.984,984,0.984
02/12/2023 04:30,02/12/2023 03:30,37441,0,37.441,37441,37.441
02/12/2023 04:45,02/12/2023 03:45,37471,0,37.471,37471,37.471
02/12/2023 04:45,02/12/2023 03:45,954,1,0.954,954,0.954
02/12/2023 05:00,02/12/2023 04:00,910,1,0.91,910,0.91
02/12/2023 05:00,02/12/2023 04:00,38365,0,38.365,38365,38.365
02/12/2023 05:15,02/12/2023 04:15,900,1,0.9,900,0.9
02/12/2023 05:15,02/12/2023 04:15,38375,0,38.375,38375,38.375
02/12/2023 05:30,02/12/2023 04:30,879,1,0.879,879,0.879
02/12/2023 05:30,02/12/2023 04:30,38396,0,38.396,38396,38.396
02/12/2023 05:45,02/12/2023 04:45,864,1,0.864,864,0.864
02/12/2023 05:45,02/12/2023 04:45,38411,0,38.411,38411,38.411
02/12/2023 06:00,02/12/2023 05:00,41929,0,41.929,41929,41.929
02/12/2023 06:00,02/12/2023 05:00,846,1,0.846,846,0.846
02/12/2023 06:15,02/12/2023 05:15,848,1,0.848,848,0.848
02/12/2023 06:15,02/12/2023 05:15,41927,0,41.927,41927,41.927
02/12/2023 06:30,02/12/2023 05:30,41912,0,41.912,41912,41.912
02/12/2023 06:30,02/12/2023 05:30,863,1,0.863,863,0.863
02/12/2023 06:45,02/12/2023 05:45,893,1,0.893,893,0.893
02/12/2023 06:45,02/12/2023 05:45,41882,0,41.882,41882,41.882
02/12/2023 07:00,02/12/2023 06:00,916,1,0.916,916,0.916
02/12/2023 07:00,02/12/2023 06:00,48009,0,48.009,48009,48.009
02/12/2023 07:15,02/12/2023 06:15,957,1,0.957,957,0.957
02/12/2023 07:15,02/12/2023 06:15,47968,0,47.968,47968,47.968
